Image,PID,Description,Status,Threads,CPU,Average CPU
Secure System,140,,Suspended,-,0,0
SearchHost.exe,9272,SearchHost,Suspended,68,0,0
LockApp.exe,12784,LockApp.exe,Suspended,16,0,0
AcrobatNotificationClient.exe,18096,AcrobatNotificationClient,Suspended,13,0,0
AdobeNotificationClient.exe,9964,Adobe Notification Client,Suspended,12,0,0
ShellExperienceHost.exe,12220,Windows Shell Experience Host,Suspended,18,0,0
SystemSettings.exe,6976,Settings,Suspended,47,0,0
Memory Compression,4076,,Running,46,0,0.25
Grammarly.Desktop.exe,19180,Grammarly,Running,48,0,0.15
perfmon.exe,24612,Resource and Performance Monitor,Running,17,0,0.14
dwm.exe,1696,Desktop Window Manager,Running,23,0,0.14
svchost.exe (netprofm -p),2372,Host Process for Windows Services,Running,15,0,0.14
SmartByteTelemetry.exe,9876,SmartByteTelemetry,Running,8,0,0.14
EXCEL.EXE,12132,Microsoft Excel,Running,64,0,0.11
System Interrupts,-,Deferred Procedure Calls and Interrupt Service Routines,Running,-,0,0.1
RAPS.exe,5020,RivetAPS,Running,10,0,0.09
System,4,NT Kernel & System,Running,342,0,0.05
MsMpEng.exe,6728,,Running,66,0,0.05
svchost.exe (LocalSystemNetworkRestricted -p),3952,Host Process for Windows Services,Running,4,0,0.04
Dropbox.exe,19492,Dropbox,Running,162,0,0.03
SmartByteNetworkService.exe,6552,SmartByte Network Service,Running,17,0,0.03
Teams.exe,15676,Microsoft Teams,Running,20,0,0.03
svchost.exe (RPCSS -p),1584,Host Process for Windows Services,Running,10,0,0.02
explorer.exe,10228,Windows Explorer,Running,69,0,0.02
chrome.exe,13324,Google Chrome,Running,43,0,0.02
svchost.exe (NetworkService -p),3048,Host Process for Windows Services,Running,11,0,0.02
WavesSvc64.exe,13512,Waves MaxxAudio Service Application,Running,21,0,0.02
chrome.exe,13268,Google Chrome,Running,24,0,0.01
WUDFHost.exe,1528,Windows Driver Foundation - User-mode Driver Framework Host Process,Running,23,0,0.01
ipf_helper.exe,8012,Intel(R) Innovation Platform Framework Utility Application,Running,4,0,0.01
svchost.exe (LocalSystemNetworkRestricted -p),4916,Host Process for Windows Services,Running,15,0,0.01
DellSupportAssistRemedationService.exe,14800,DCFWinService,Running,27,0,0.01
OUTLOOK.EXE,7300,Microsoft Outlook,Running,89,0,0.01
WUDFHost.exe,1804,Windows Driver Foundation - User-mode Driver Framework Host Process,Running,11,0,0.01
Adobe Desktop Service.exe,6640,Creative Cloud Core Service,Running,47,0,0.01
AdobeIPCBroker.exe,5976,Creative Cloud Interprocess Service,Running,26,0,0.01
SearchProtocolHost.exe,12700,Microsoft Windows Search Protocol Host,Running,18,0,0.01
csrss.exe,1132,,Running,14,0,0
MfeAVSvc.exe,15688,McAfee Cloud AV,Running,72,0,0
chrome.exe,9456,Google Chrome,Running,19,0,0
CoreSync.exe,21520,Adobe Content Synchronizer,Running,67,0,0
chrome.exe,4568,Google Chrome,Running,23,0,0
WTabletServiceISD.exe,4824,Tablet Service,Running,10,0,0
mysqld.exe,7116,mysqld,Running,39,0,0
AdobeCollabSync.exe,17928,Acrobat Collaboration Synchronizer 23.6,Running,19,0,0
mfemms.exe,6312,,Running,25,0,0
svchost.exe (LocalServiceNoNetworkFirewall -p),4272,Host Process for Windows Services,Running,14,0,0
svchost.exe (appmodel -p),4024,Host Process for Windows Services,Running,4,0,0
msedgewebview2.exe,5916,Microsoft Edge WebView2,Running,25,0,0
fontdrvhost.exe,1444,Usermode Font Driver Host,Running,5,0,0
ctfmon.exe,12564,CTF Loader,Running,14,0,0
msedgewebview2.exe,10576,Microsoft Edge WebView2,Running,14,0,0
msedgewebview2.exe,14716,Microsoft Edge WebView2,Running,46,0,0
services.exe,1244,,Running,8,0,0
WUDFHost.exe,1860,Windows Driver Foundation - User-mode Driver Framework Host Process,Running,13,0,0
Teams.exe,15560,Microsoft Teams,Running,45,0,0
svchost.exe (LocalService -p),3764,Host Process for Windows Services,Running,8,0,0
chrome.exe,24312,Google Chrome,Running,23,0,0
Teams.exe,4452,Microsoft Teams,Running,21,0,0
msedgewebview2.exe,20716,Microsoft Edge WebView2,Running,48,0,0
node.exe,17732,Node.js JavaScript Runtime,Running,25,0,0
csrss.exe,1032,,Running,12,0,0
TextInputHost.exe,15388,TextInputHost,Running,32,0,0
MMSSHOST.exe,7988,McAfee Management Service Host,Running,88,0,0
Creative Cloud.exe,20256,Creative Cloud,Running,26,0,0
svchost.exe (ClipboardSvcGroup -p),10856,Host Process for Windows Services,Running,10,0,0
Dropbox.exe,22232,Dropbox,Running,14,0,0
lsass.exe,1304,Local Security Authority Process,Running,7,0,0
node.exe,4012,Node.js JavaScript Runtime,Running,24,0,0
slack.exe,18824,Slack,Running,35,0,0
Registry,172,,Running,4,0,0
smss.exe,724,,Running,2,0,0
wininit.exe,1124,,Running,2,0,0
winlogon.exe,1224,Windows Logon Application,Running,3,0,0
LsaIso.exe,1276,Credential Guard & VBS Key Isolation,Running,1,0,0
svchost.exe (DcomLaunch -p),1416,Host Process for Windows Services,Running,13,0,0
fontdrvhost.exe,1452,Usermode Font Driver Host,Running,5,0,0
svchost.exe (DcomLaunch -p),1640,Host Process for Windows Services,Running,5,0,0
