Image,PID,Hard Faults/sec,Commit KB,Working Set KB,Shareable KB,Private KB
AcrobatNotificationClient.exe,18096,0,"40,272","3,632","3,392",240
Adobe Crash Processor.exe,7856,0,"4,768","15,252","13,704","1,548"
Adobe Desktop Service.exe,6640,0,"85,284","85,504","75,696","9,808"
AdobeCollabSync.exe,17928,0,"7,016","20,384","17,980","2,404"
AdobeCollabSync.exe,16808,0,"4,148","16,628","15,700",928
AdobeIPCBroker.exe,5976,0,"5,696","10,568","8,380","2,188"
AdobeNotificationClient.exe,9964,0,"42,876","2,836","2,592",244
AdobeUpdateService.exe,5860,0,"2,508","9,580","9,060",520
AggregatorHost.exe,6840,0,"1,460","7,420","6,896",524
ai.exe,11560,0,"19,664","20,464","15,576","4,888"
ApplicationFrameHost.exe,21464,0,"11,332","35,988","28,564","7,424"
armsvc.exe,5788,0,"1,668","6,984","6,724",260
CCLibrary.exe,4084,0,584,"2,948","2,816",132
CCXProcess.exe,3800,0,568,"2,764","2,712",52
chrome.exe,9456,0,"186,028","224,576","73,548","151,028"
chrome.exe,13324,0,"150,056","299,688","178,504","121,184"
chrome.exe,13268,0,"112,128","173,260","74,680","98,580"
chrome.exe,24312,0,"36,012","81,856","58,452","23,404"
chrome.exe,14900,0,"31,232","65,160","47,400","17,760"
chrome.exe,5448,0,"24,876","48,128","33,372","14,756"
chrome.exe,4568,0,"28,748","51,672","38,444","13,228"
chrome.exe,8948,0,"23,796","53,032","42,788","10,244"
chrome.exe,13556,0,"17,872","28,680","22,800","5,880"
chrome.exe,4436,0,"13,052","21,092","17,172","3,920"
chrome.exe,20320,0,"12,232","21,204","18,180","3,024"
chrome.exe,9596,0,"6,656","8,564","7,528","1,036"
ChsIME.exe,12968,0,"1,488","7,948","7,508",440
conhost.exe,9060,0,"5,228","5,348","4,856",492
conhost.exe,2196,0,"5,736","8,092","7,644",448
conhost.exe,23812,0,"5,352","5,704","5,328",376
conhost.exe,7124,0,"5,676","7,096","6,764",332
conhost.exe,3984,0,"5,348","5,616","5,324",292
conhost.exe,5572,0,"5,216","4,896","4,608",288
conhost.exe,23152,0,"5,340","5,728","5,460",268
CoreSync.exe,21520,0,"25,704","41,832","32,148","9,684"
Creative Cloud UI Helper.exe,11996,0,"269,504","141,608","79,656","61,952"
Creative Cloud UI Helper.exe,20164,0,"136,556","95,268","89,940","5,328"
Creative Cloud UI Helper.exe,11208,0,"10,864","25,924","24,352","1,572"
Creative Cloud.exe,20256,0,"77,756","119,908","112,620","7,288"
csc_ui.exe,20328,0,"156,776","31,836","30,140","1,696"
csrss.exe,1132,0,"2,904","6,668","5,248","1,420"
csrss.exe,1032,0,"2,336","5,396","4,460",936
ctfmon.exe,12564,0,"7,292","27,240","23,856","3,384"
dasHost.exe,3624,0,"1,396","5,264","4,876",388
DbxSvc.exe,5940,0,"3,604","7,596","7,052",544
DDVRulesProcessor.exe,2084,0,"18,092","15,808","14,044","1,764"
Dell.D3.WinSvc.exe,24384,0,"115,904","117,896","68,960","48,936"
DellSupportAssistRemedationService.exe,14800,0,"61,452","86,972","54,416","32,556"
dllhost.exe,11976,0,"9,236","19,868","15,444","4,424"
Dropbox.exe,19492,0,"380,616","251,728","120,208","131,520"
Dropbox.exe,22232,0,"42,420","68,040","50,516","17,524"
Dropbox.exe,21432,0,"20,040","28,596","26,340","2,256"
Dropbox.exe,24528,0,"24,184","37,672","35,764","1,908"
Dropbox.exe,22972,0,"31,528","37,600","35,880","1,720"
Dropbox.exe,15240,0,"12,988","23,048","21,672","1,376"
Dropbox.exe,18744,0,"3,864","12,708","12,164",544
Dropbox.exe,18668,0,"2,800","8,496","8,092",404
DropboxUpdate.exe,5432,0,"2,204","2,212","1,688",524
dwm.exe,1696,0,"212,780","184,040","67,308","116,732"
EXCEL.EXE,12132,1,"206,136","298,380","151,548","146,832"
explorer.exe,10228,0,"150,380","180,524","143,284","37,240"
FileSyncHelper.exe,15236,0,"4,464","19,764","18,780",984
fontdrvhost.exe,1444,0,"6,052","11,820","7,972","3,848"
fontdrvhost.exe,1452,0,"1,900","4,148","2,772","1,376"
FusionService.exe,12660,0,"52,356","64,504","54,532","9,972"
GoodixSessionService.exe,6504,0,752,"3,908","3,752",156
Grammarly.Desktop.exe,19180,0,"343,524","273,436","117,936","155,500"
IntelAudioService.exe,6116,0,"39,912","32,688","28,108","4,580"
IntelCpHDCPSvc.exe,2676,0,"1,308","5,656","5,304",352
ipf_helper.exe,8012,0,"1,644","6,508","5,880",628
ipf_uf.exe,6248,0,"1,904","6,552","6,444",108
ipfsvc.exe,6128,0,"2,576","5,788","5,636",152
jhi_service.exe,6328,0,"1,308","6,300","6,176",124
LocationNotificationWindows.exe,19112,0,"1,844","3,016","2,576",440
LockApp.exe,12784,0,"48,736","54,928","54,548",380
